time,jup_sw_pdyn,JPFWHM,LINT0710ADAWN,EERR1190ARAD3,TERR1190A,CONT1190ARAD3,TPOW1190ARAD1,XPOS3,EERR1190ARAD1,CML,INT_TIME,DAYOFYEAR,EFLX1190A,CONT1190ARAD1,CONT0710ADAWN,TERR1190ARAD2,PPOS1190ARAD1,YEAR,EFLX1190ARAD1,CONT1190ARAD2,EERR0710ADAWN,EFLX1190ARAD2,EPOCH,PPOS1190A,DISK,CONT1190A,EERR1190A,EFLX0710ADUSK,SLIT1Y,TERR1190ARAD1,LINT1190ARAD3,AURPFLG,EFLX0710ADAWN,PPOS0710ADAWN,TPOW0710ADUSK,TERR0710ADAWN,TERR0710ADUSK,TPOW1190ARAD3,SECOFDAY,TERR1190ARAD3,CONT0710ADUSK,XPOS1,SLIT3Y,TPOW1190ARAD2,LINT0710ADUSK,XPOS2,TPOW0710ADAWN,TPOW1190A,SLIT4Y,Y_POL,PPOS1190ARAD3,EFLX1190ARAD3,JUPLOC,PPOS1190ARAD2,EERR0710ADUSK,LINT1190A,SLIT2Y,PPOS0710ADUSK,EERR1190ARAD2,JPFLAG,RADMON,LINT1190ARAD2,LINT1190ARAD1
2016-05-04T04:59:48.000,nan,5.16453,40.65269406096445,3.5230845335540057,28.62817222270194,1288.2268088061323,177.7372841811984,834.791,2.5775449796817846,221.1690701891469,10.0,125.0,50.342428675802424,893.6177357364886,405.8013415833557,28.42261139045973,541.0,2016.0,16.44483532677295,2156.946495571163,0.47510903836859797,50.07726137872574,2016.342801353715,571.0,40.44974503642341,2155.8641448941107,6.890104698224136,17.7209558169908,525.28,10.982084492469866,128.8438341715081,1.0,10.793506863158015,543.0,189.1711278828044,5.0626941481078624,6.354463851062484,261.2752060862737,17988.0,13.696781971088418,670.1847982657137,833.766,582.87,545.9384176256324,66.68130819060033,831.935,115.16068627867135,549.1049650654172,613.96,1.0,597.0,25.202952643348876,573.833,571.0,0.5957693270772606,216.1586439695642,560.87,598.0,6.848563624055701,1.0,43.9323,216.22802829938922,89.42939046945473
2016-05-04T05:09:48.000,nan,5.93847,33.89190006875425,2.9500567013019374,29.90641531981791,1267.392041622445,173.20034770800717,834.791,2.384269254745729,227.21367367813113,10.0,125.0,52.28396844860329,850.9080274808866,338.0754386179615,29.763252974376385,542.0,2016.0,16.028974422394505,2083.2689881429906,0.4032972294252961,52.00851966236592,2016.3428203665678,571.0,40.44913227643607,2073.0642183492637,7.320171096530711,17.111614187144102,525.28,10.563447862885015,126.62416005685353,1.0,8.922084769492814,544.0,182.7136225834644,4.302127287735546,6.098461485458793,244.08604495130817,18588.0,12.556427507349424,650.6835423279699,833.766,582.87,561.6915576945582,64.90736643936795,831.935,95.25882376904924,562.0136770762562,613.96,1.0,597.0,22.890067770077582,573.649,571.0,0.571549751786274,207.5923578366132,560.87,599.0,7.252246179226941,1.0,39.4263,208.60866846797907,84.85985683622333
2016-05-04T05:19:48.000,nan,5.25229,44.6574452047294,4.331566417792271,30.682536768986687,1185.666588692411,151.59708328300385,834.791,1.7387568712924544,233.2586924041166,10.0,125.0,56.05037721397594,754.3390330632633,443.2168857747456,30.819787740273973,544.0,2016.0,13.854074671223653,2092.8155431606765,0.4821042461204192,56.021745916076824,2016.3428393794204,571.0,40.448443522201046,2095.011358608689,7.86623489592528,16.134767975443676,525.28,8.655105456174052,118.55334627259833,1.0,11.971943458536904,544.0,172.29983316722337,5.136959718705495,6.008707755548396,259.01856073187014,19188.0,16.097327204778686,613.448353463391,833.766,582.87,578.7596784431653,61.148903744888415,831.935,127.7661554296653,577.9375980751149,613.96,1.0,597.0,25.471601810604252,573.805,571.0,0.5631208751241412,209.74788573454967,560.87,597.0,7.866305292228642,1.0,34.3757,209.55701404804537,75.53338505924633
2016-05-04T05:28:48.000,nan,6.36918,42.71198148388714,3.0122430727722227,29.010779384997527,877.4060546252877,153.71813389318888,834.791,2.845847363403666,238.6995810850282,8.0,125.0,42.36977151600746,576.0592949092388,339.7886457145214,29.090220335376838,542.0,2016.0,14.528634097602168,1358.9189035487361,0.526173663862619,42.3556698985048,2016.342856490988,571.0,40.447727487724656,1351.916107348632,6.9727756399029195,16.671382080215142,525.28,11.89029056442696,109.51923786282077,1.0,11.535526427930433,541.0,178.1522663569373,5.604944703642524,6.688987240545973,215.22571203493067,19728.0,13.029512997135605,519.2893772311509,833.766,582.87,452.56920941999664,64.69192542992704,831.935,123.06612743086505,452.20947440145255,613.96,1.0,596.0,20.193707009311126,573.618,571.0,0.6262612880470977,169.30784788720277,560.87,599.0,7.011885147858244,1.0,37.8212,170.19533146907452,72.09494171826428
2016-05-04T06:45:48.000,nan,6.36688,40.49465074025951,3.6376127247877195,17.264905340288816,1313.911487580449,179.2765832389097,834.445,2.257279403614489,285.24629682777135,10.0,125.0,25.99055710224582,888.2440439004858,401.9060143480601,17.30014779874376,542.0,2016.0,16.029154221017617,1206.839138286291,0.47219050031931,26.20749022466023,2016.3430028899536,571.0,40.44134165292315,1190.9631078907341,4.312929297178505,14.908690918332175,525.28,10.889785364551523,131.4572843077935,1.0,10.785949577113305,543.0,159.31674328403267,5.033218619348692,5.8480166983691015,268.40808189343284,24348.0,14.25118100872678,577.1320915773322,834.739,582.87,276.2415014152243,57.277383381075694,831.326,115.13987898849106,274.22139526698163,613.96,1.0,597.0,25.801431431355272,574.103,571.0,0.5478263982331154,119.44453248118964,560.87,600.0,4.345102821580443,1.0,42.6036,121.04902402963714,88.79538978840027
2016-05-04T06:55:48.000,nan,6.06482,38.95017400840032,2.8390965825362002,17.971248515446035,1149.826126633474,169.11917592239053,834.445,2.4661855190069026,291.29089246814567,10.0,125.0,24.904939621990376,841.7629510489769,387.8889936350606,17.156239430357854,544.0,2016.0,15.77612489841576,1145.7713130840605,0.4464368307023137,24.56577660767376,2016.3430219028062,571.0,40.4407293588149,1128.4336783262736,4.322849569913103,14.5512899488778,525.28,10.013269550181327,115.2340036626211,1.0,10.396705340405028,547.0,155.5569987343276,4.756140146782794,5.6204222510981445,224.42620065952096,24948.0,10.94140506090784,569.8454832842981,834.739,582.87,264.103292090412,56.648022894114995,831.326,110.97466742445903,266.9538430943969,613.96,1.0,598.0,21.57271253525118,574.154,571.0,0.5262311600973656,113.17038389202895,560.87,598.0,4.164874798537872,1.0,40.7863,114.88069421860517,84.03253453215551
2016-05-04T07:05:48.000,nan,5.68183,36.466443592826366,3.642609786954495,14.856549847816384,1031.220361286531,144.8038332847293,834.445,2.0046129035984963,297.33590198433853,10.0,125.0,20.09446037043586,742.5685513070312,360.37541104495176,14.858909916367278,542.0,2016.0,13.382760271852344,961.3349151133061,0.44489665790666694,20.15835125623141,2016.343040915659,571.0,40.440042274375344,956.2841230333233,3.6789427751048778,13.340707175731323,525.28,8.901753517175148,102.91755570256132,1.0,9.74885281075086,541.0,142.5770993492639,4.745010128820071,5.26596183787031,216.58602107516654,25548.0,13.892463975424794,513.1657885608365,834.739,582.87,218.40891096329565,51.04289930428179,831.326,104.09764828112351,217.51604856665784,613.96,1.0,596.0,20.950639177753345,574.019,571.0,0.4932343661935046,95.78000182349726,560.87,598.0,3.678978804964737,1.0,34.6229,96.277955536928,74.00532101638754
2016-05-04T07:15:48.000,nan,6.5102,40.36724397943822,2.8149813877695626,14.498416713899216,1116.0934009159564,136.72706798042577,834.445,1.5334916204346534,303.3813437501399,10.0,125.0,20.272725805169433,688.7671854686414,400.5706420383649,14.385483635501293,542.0,2016.0,12.757490053041028,924.8564322811944,0.4568778867874793,20.254356911552282,2016.3430599285116,571.0,40.43924297060431,916.2118426657617,3.7154449098442415,15.541824700752299,525.28,7.559151109744288,111.74671780062154,1.0,10.673235763223694,541.0,166.115967541867,4.870218915968187,5.788543820346338,215.31521549582808,26148.0,11.186879786522251,602.2979553118421,834.739,582.87,212.98242122004524,59.7804412157298,831.326,113.98908535369478,212.90759422129457,613.96,1.0,599.0,20.561510317109494,573.842,571.0,0.5421057263427473,91.75565709659018,560.87,598.0,3.6810315938810962,1.0,40.1804,92.63806683682633,68.83063438267898
2016-05-04T07:23:18.000,nan,6.2684,36.95027484961161,4.230820109546561,18.282666912637108,510.2971410998816,151.47498922227908,834.445,3.0888247692345105,307.9156354001111,5.0,125.0,18.325462056844334,376.4996530801045,183.8291812823445,18.30579928137061,544.0,2016.0,14.567324878524317,456.7591698213391,0.5632764122037572,18.46829435601234,2016.3430741881511,571.0,40.43856840743224,450.8309917545148,4.180661900521653,15.459318097192723,525.28,11.628121835647095,102.25399052382949,1.0,9.726118554132057,548.0,165.2461944050671,6.0107173793473185,7.4743105029270955,204.50070316977929,26598.0,14.697531792201252,300.5255526371184,834.739,582.87,208.24884791192477,59.77775984004551,831.326,103.9172184611151,206.74404151632436,613.96,1.0,597.0,20.4465713692189,573.917,571.0,0.6998062162470188,90.44224993352043,560.87,598.0,4.180893105277492,1.0,35.5686,91.6243397872958,75.20348328885724
2016-05-04T08:31:48.000,nan,4.79925,42.658772962192785,2.5363880256210374,16.105403321064593,1067.498304353816,197.11674925983374,834.633,2.651697563134106,349.3235043515667,10.0,125.0,19.470977719893597,962.1932758269213,426.7201087367721,15.885557730056227,542.0,2016.0,18.26422386855873,915.7391924069839,0.5000520273700229,19.442760489667847,2016.3432044261922,570.0,40.43293573009665,908.1931020941124,3.8397974485951956,13.908746194305717,525.28,11.677326458615749,106.57481423187653,1.0,11.403347322989557,542.0,148.58000007944867,5.327407078230955,5.7545746407965925,207.03893293752847,30708.0,10.457474508849463,522.2723246406531,833.227,582.87,214.4764147480568,52.11791017648913,832.399,121.7767632786562,214.54054952739054,613.96,1.0,597.0,19.640979238382037,574.4,570.0,0.5397657639313798,90.90428360365519,560.87,596.0,3.7852994092971635,1.0,44.5752,91.69251865849715,96.23765405527969
